record_id,date,year,month,production_order,product_family_code,sample_lot_code,solution_lot_code,viscosity_cP,casting_speed_m_min,blade_gap_um,flow_rate_mL_min,solution_concentration_pct_raw,solution_concentration_pct_imputed,solution_concentration_pct_was_imputed,solid_content_pct_raw,solid_content_pct_imputed,solid_content_pct_was_imputed,nips1_temp_C_raw,nips1_temp_C_imputed,nips1_temp_C_was_imputed,nips2_temp_C_raw,nips2_temp_C_imputed,nips2_temp_C_was_imputed,dry1_temp_C_raw,dry1_temp_C_imputed,dry1_temp_C_was_imputed,dry2_temp_C_raw,dry2_temp_C_imputed,dry2_temp_C_was_imputed,dry3_temp_C_raw,dry3_temp_C_imputed,dry3_temp_C_was_imputed,viscosity_x_speed,viscosity_x_gap,viscosity_div_flow,speed_x_gap,log_viscosity,viscosity_sq,thickness_um,is_major_NC_5_family
R0001,2024-02-27,2024,2,1,Family_1,1,1,735,0.5,800,150,,6.8,True,0.0,0.0,False,20.5,20.5,False,,39.13,True,,60,True,,90,True,,90,True,367.5,588000,4.9,400.0,6.599870499212837,540225,94.0,True
R0002,2024-02-27,2024,2,2,Family_1,2,1,701,0.5,800,150,,6.8,True,0.0,0.0,False,17.9,17.9,False,,39.13,True,,60,True,,90,True,,90,True,350.5,560800,4.673333333333333,400.0,6.55250788703459,491401,91.0,True
R0003,2024-02-27,2024,2,3,Family_1,3,1,701,0.5,800,150,,6.8,True,0.0,0.0,False,19.1,19.1,False,,39.13,True,,60,True,,90,True,,90,True,350.5,560800,4.673333333333333,400.0,6.55250788703459,491401,90.0,True
R0004,2024-02-27,2024,2,4,Family_1,4,1,837,0.5,800,150,,6.8,True,0.0,0.0,False,18.9,18.9,False,,39.13,True,,60,True,,90,True,,90,True,418.5,669600,5.58,400.0,6.729824070489475,700569,99.0,True
R0005,2024-02-27,2024,2,5,Family_1,5,1,837,0.5,800,150,,6.8,True,0.0,0.0,False,21.0,21.0,False,,39.13,True,,60,True,,90,True,,90,True,418.5,669600,5.58,400.0,6.729824070489475,700569,91.0,True
R0006,2024-02-29,2024,2,6,Family_1,1,1,735,0.5,800,150,,6.8,True,0.0,0.0,False,20.5,20.5,False,,39.13,True,,60,True,,90,True,,90,True,367.5,588000,4.9,400.0,6.599870499212837,540225,94.0,True
R0007,2024-02-29,2024,2,7,Family_1,2,1,701,0.5,800,150,,6.8,True,0.0,0.0,False,17.9,17.9,False,,39.13,True,,60,True,,90,True,,90,True,350.5,560800,4.673333333333333,400.0,6.55250788703459,491401,91.0,True
R0008,2024-02-29,2024,2,8,Family_1,3,1,701,0.5,800,150,,6.8,True,0.0,0.0,False,19.1,19.1,False,,39.13,True,,60,True,,90,True,,90,True,350.5,560800,4.673333333333333,400.0,6.55250788703459,491401,90.0,True
R0009,2024-02-29,2024,2,9,Family_1,4,1,837,0.5,800,150,,6.8,True,0.0,0.0,False,18.9,18.9,False,,39.13,True,,60,True,,90,True,,90,True,418.5,669600,5.58,400.0,6.729824070489475,700569,99.0,True
R0010,2024-02-29,2024,2,10,Family_1,5,1,837,0.5,800,150,,6.8,True,0.0,0.0,False,21.0,21.0,False,,39.13,True,,60,True,,90,True,,90,True,418.5,669600,5.58,400.0,6.729824070489475,700569,91.0,True
R0011,2024-06-07,2024,6,11,Family_1,6,1,908,0.6,800,300,,6.8,True,0.01,0.01,False,20.6,20.6,False,,39.13,True,,60,True,,90,True,,90,True,544.8,726400,3.026666666666667,480.0,6.811244378601294,824464,115.0,True
R0012,2024-06-07,2024,6,12,Family_1,6,1,908,0.6,800,300,,6.8,True,0.01,0.01,False,20.6,20.6,False,,39.13,True,,60,True,,90,True,,90,True,544.8,726400,3.026666666666667,480.0,6.811244378601294,824464,115.0,True
R0013,2024-06-07,2024,6,13,Family_1,7,1,908,0.6,800,300,,6.8,True,0.01,0.01,False,21.3,21.3,False,,39.13,True,,60,True,,90,True,,90,True,544.8,726400,3.026666666666667,480.0,6.811244378601294,824464,111.0,True
R0014,2024-06-07,2024,6,14,Family_1,7,1,908,0.6,800,300,,6.8,True,0.01,0.01,False,21.3,21.3,False,,39.13,True,,60,True,,90,True,,90,True,544.8,726400,3.026666666666667,480.0,6.811244378601294,824464,111.0,True
